basis,bond length,method,energy,error,entropy
vdz,3.0,ROHF,-0.9872899659286654,0.0,0.0
vqz,3.0,ROHF,-0.9892266900956568,0.0,0.0
vtz,3.0,ROHF,-0.9889077333531122,0.0,0.0
vdz,4.0,ROHF,-0.9069286726706869,0.0,0.0
vqz,4.0,ROHF,-0.9113630034168831,0.0,0.0
vtz,4.0,ROHF,-0.9107561801625943,0.0,0.0
vdz,1.0,ROHF,-1.075015513986994,0.0,0.0
vqz,1.0,ROHF,-1.085048230313892,0.0,0.0
vtz,1.0,ROHF,-1.0840890518772786,0.0,0.0
vdz,1.4,ROHF,-1.1304676681919008,0.0,0.0
vqz,1.4,ROHF,-1.1335925412650911,0.0,0.0
vtz,1.4,ROHF,-1.1333161194650785,0.0,0.0
vdz,2.0,ROHF,-1.0905378313306213,0.0,0.0
vqz,2.0,ROHF,-1.0915796151626052,0.0,0.0
vtz,2.0,ROHF,-1.0914129134932506,0.0,0.0
vdz,3.0,CCSD,-1.051949714209956,0.0,0.35021937804096887
vqz,3.0,CCSD,-1.0566801811874942,0.0,0.3571443173550531
vtz,3.0,CCSD,-1.0555439507924689,0.0,0.3550106580967656
vdz,4.0,CCSD,-1.0137725642307136,0.0,0.5667337544568014
vqz,4.0,CCSD,-1.0158395076047648,0.0,0.5659050489042806
vtz,4.0,CCSD,-1.015208601131444,0.0,0.5647475808551771
vdz,1.0,CCSD,-1.106915730777664,0.0,0.08247878912322713
vqz,1.0,CCSD,-1.1238298648946599,0.0,0.08893656838254568
vtz,1.0,CCSD,-1.1218005944266551,0.0,0.08863240070527242
vdz,1.4,CCSD,-1.1655289369985684,0.0,0.10442224636042315
vqz,1.4,CCSD,-1.1739155653370903,0.0,0.11378257403676978
vtz,1.4,CCSD,-1.1726973651671733,0.0,0.11260923272260959
vdz,2.0,CCSD,-1.1317322662852085,0.0,0.15909301303633544
vqz,2.0,CCSD,-1.1376133109788045,0.0,0.1736172403623686
vtz,2.0,CCSD,-1.1364367820076469,0.0,0.17148644217526185
vdz,3.0,vmc_hci0.1,-1.056099813833773,3.905064238000653e-05,0.3583370621022282
vdz,3.0,vmc_mf,-1.0427058049820654,9.401404412917251e-05,0.23284729954800815
vqz,3.0,vmc_hci0.1,-1.0550358181069397,7.161294148506393e-05,0.4733005259045893
vqz,3.0,vmc_mf,-1.0432754176191128,0.0001066832540480897,0.36781487726319295
vtz,3.0,vmc_hci0.1,-1.0561911309192131,3.520110590648012e-05,0.3807314829269806
vtz,3.0,vmc_mf,-1.0435055094290913,0.00010328548935611272,0.2782447619645144
vdz,4.0,vmc_hci0.1,-1.0155578313894653,3.618892771696425e-05,0.5652518919491634
vdz,4.0,vmc_mf,-0.986141268636671,0.0003167132558413834,0.38105350492206336
vqz,4.0,vmc_hci0.1,-1.0154406278352717,3.155019778742614e-05,0.699348203731836
vqz,4.0,vmc_mf,-0.9860181361210933,0.0003183431601071894,0.5197162743113923
vtz,4.0,vmc_hci0.1,-1.0159435390191074,2.115975234136924e-05,0.6002614218941872
vtz,4.0,vmc_mf,-0.9865372117219431,0.00031023038677580126,0.4449560289676816
vdz,1.0,vmc_hci0.1,-1.1224057833939904,7.171251762916057e-05,0.07240203772808022
vdz,1.0,vmc_mf,-1.121606366859476,8.381254428267952e-05,0.070017551902267
vqz,1.0,vmc_hci0.1,-1.1227080451135505,7.743301357681876e-05,0.19569475144217685
vqz,1.0,vmc_mf,-1.122484545990925,7.596933840947139e-05,0.18669973117502275
vtz,1.0,vmc_hci0.1,-1.1225285789084922,6.7398597139636e-05,0.1111339444648499
vtz,1.0,vmc_mf,-1.1224837130683407,9.391529859836097e-05,0.10866483764817665
vdz,1.4,vmc_hci0.1,-1.1722201045436942,6.007678661197308e-05,0.09074970052217152
vdz,1.4,vmc_mf,-1.1715343957449709,7.592106975768092e-05,0.09746744863130036
vqz,1.4,vmc_hci0.1,-1.1717061353469922,7.19835822598638e-05,0.2191015655360967
vqz,1.4,vmc_mf,-1.1718595956916196,7.566214353001473e-05,0.220048833497942
vtz,1.4,vmc_hci0.1,-1.1721814869081422,5.598731495423416e-05,0.12357443194063925
vtz,1.4,vmc_mf,-1.172271844983335,6.294306063121214e-05,0.13801321759969049
vdz,2.0,vmc_hci0.1,-1.1329431226562532,7.970406322047702e-05,0.12599407571293533
vdz,2.0,vmc_mf,-1.1331301320504956,7.135966548236128e-05,0.12831991518018562
vqz,2.0,vmc_hci0.1,-1.1335952918081917,7.200004994970976e-05,0.24957476859887343
vqz,2.0,vmc_mf,-1.1336056039856583,7.874789793534073e-05,0.25703366728262417
vtz,2.0,vmc_hci0.1,-1.133643974837421,7.199859084128383e-05,0.16560257309491394
vtz,2.0,vmc_mf,-1.1335917042655062,7.877799977825509e-05,0.1731976194471646
vdz,3.0,hci,-1.030356668064693,0.0,0.6072078942252647
vqz,3.0,hci,-1.0174699302032721,0.0,0.4557998941155935
vtz,3.0,hci,-1.019959719674816,0.0,0.4891091161085227
vdz,4.0,hci,-0.9961244184581988,0.0,1.0875646665138607
vqz,4.0,hci,-0.9831485099564523,0.0,1.0086818532898705
vtz,4.0,hci,-0.9855212591998661,0.0,1.0256086670087488
vdz,1.0,hci,-1.0926548893611083,0.0,0.08425217423953626
vqz,1.0,hci,-1.0850482303138986,0.0,-0.0
vtz,1.0,hci,-1.0895827291763842,0.0,0.017670022433174087
vdz,1.4,hci,-1.1460314324333307,0.0,0.0824165122374659
vqz,1.4,hci,-1.1335925412650893,0.0,-0.0
vtz,1.4,hci,-1.133316119465078,0.0,-0.0
vdz,2.0,hci,-1.0905378313306207,0.0,-0.0
vqz,2.0,hci,-1.091579615162608,0.0,-0.0
vtz,2.0,hci,-1.0914129134932502,0.0,-0.0
