bond_length,basis,startingwf,method,orbitals,statenumber,determinant_cutoff,nconfig,energy,error,entropy
1.2,vtz,hci0.1,dmc0.02,fixed,0,0,400,-1.1650228045069801,6.993371196265667e-05,0.21458437302280797
1.2,vtz,hci0.1,dmc0.02,orbitals,0,0,400,-1.1646862983808821,6.602504842435397e-05,0.22066911331468506
1.2,vtz,hf,dmc0.02,fixed,0,0,400,-1.164567179440312,6.225672921652443e-05,0.21513006740467075
1.2,vtz,hf,dmc0.02,orbitals,0,0,400,-1.1649904081948088,6.432683554441285e-05,0.21741760848145641
1.2,vtz,hci0.02,vmc,fixed,0,0,400,-1.1621217465189195,0.000100560167370327,0.2606788460473583
1.2,vtz,hci0.02,vmc,orbitals,0,0,400,-1.1545594514810715,0.00023639895554637124,0.26856037687698164
1.2,vtz,hci0.05,vmc,fixed,0,0,400,-1.1560471103190009,0.00015070532046115265,0.2553931192877797
1.2,vtz,hci0.05,vmc,orbitals,0,0,400,-1.1625869372859592,8.004183024713522e-05,0.24390147364479875
1.2,vtz,hci0.08,vmc,fixed,0,0,400,-1.1512043897941877,0.0001426907965301471,0.3888895958375074
1.2,vtz,hci0.08,vmc,orbitals,0,0,400,-1.161857888571753,8.473181750709927e-05,0.23128688413099943
1.2,vtz,hci0.1,vmc,fixed,0,0,400,-1.1622769614861963,8.846823990152579e-05,0.21327761042276366
1.2,vtz,hci0.1,vmc,orbitals,0,0,400,-1.1623745005002115,7.023407776600806e-05,0.24519545326295547
1.2,vtz,hf,vmc,fixed,0,0,400,-1.162746910023645,6.874532408631133e-05,0.23338199967832707
1.2,vtz,hf,vmc,orbitals,0,0,400,-1.162685878944001,6.832559621285955e-05,0.22480725293933096
1.2,vtz,uhf,vmc,fixed,0,0,400,-1.162300664383116,6.697620948380037e-05,0.23227695234851797
1.2,vtz,uhf,vmc,orbitals,0,0,400,-1.162406043679861,7.700631361475775e-05,0.23367706377324465
1.4,vtz,hf,dmc0.02,fixed,0,0,400,-1.1743436872719724,5.385844798516751e-05,0.23935524622198392
1.4,vtz,hci0.02,vmc,fixed,0,0,400,-1.1576408169917882,0.000250500033565654,0.31174579372851674
1.4,vtz,hci0.02,vmc,orbitals,0,0,400,-1.1591866033439284,0.0002458942449159502,0.30893047591646716
1.4,vtz,hci0.05,vmc,fixed,0,0,400,-1.1696346384540108,9.236542659113462e-05,0.25913824109290146
1.4,vtz,hci0.05,vmc,orbitals,0,0,400,-1.172166445687681,6.674123468734053e-05,0.25805474369580494
